Device_Name,Device_ID,Cupon Origen,Cupon Link,utm_campaign,utm_source,utm_seller,Long url,Short URL
Smart,27,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,https://www.mercadopago.com.br/point/preference?device_id=27&qty=1&campaign_label=point_smart&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyNyIsCiJ1dG1fY2FtcGFpZ24iOiJzY3JhcF9zbWIiLCAKInV0bV9zb3VyY2UiOiJ0bHZfbm9ybWFsX2xpbmsiLCAKInV0bV9zZWxsZXIiOiJBY3Rpb25saW5lIiAKfQ==,http://mpago.li/292pyw6
Mini con NFC,35,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,https://www.mercadopago.com.br/point/preference?device_id=35&qty=1&campaign_label=point_mini_newland_nfc&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIzNSIsCiJ1dG1fY2FtcGFpZ24iOiJzY3JhcF9zbWIiLCAKInV0bV9zb3VyY2UiOiJ0bHZfbm9ybWFsX2xpbmsiLCAKInV0bV9zZWxsZXIiOiJBY3Rpb25saW5lIiAKfQ==,http://mpago.li/2LUaKgR
Mini Chip,21,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,https://www.mercadopago.com.br/point/preference?device_id=21&qty=1&campaign_label=point_mini_chip&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyMSIsCiJ1dG1fY2FtcGFpZ24iOiJzY3JhcF9zbWIiLCAKInV0bV9zb3VyY2UiOiJ0bHZfbm9ybWFsX2xpbmsiLCAKInV0bV9zZWxsZXIiOiJBY3Rpb25saW5lIiAKfQ==,http://mpago.li/1CNpV3x
Pro2,28,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,https://www.mercadopago.com.br/point/preference?device_id=28&qty=1&campaign_label=point_pro_2&has_coupon=true&coupon_code=TELE_2021&campaign=true&fake_price=true&query_params=ewoiY29kZSI6IlRFTEVfMjAyMSIsCiJkZXZpY2UiOiIyOCIsCiJ1dG1fY2FtcGFpZ24iOiJzY3JhcF9zbWIiLCAKInV0bV9zb3VyY2UiOiJ0bHZfbm9ybWFsX2xpbmsiLCAKInV0bV9zZWxsZXIiOiJBY3Rpb25saW5lIiAKfQ==,http://mpago.li/2vELmtN
