Device_Name,Device_ID,Cupon Origen,Cupon Link,utm_campaign,utm_source,utm_seller,Link,Short URL
Smart,27,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,,
Pro2,28,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,,
Mini Chip,21,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,,
Mini con NFC,35,TELE_2021,TELE_2021,scrap_smb,tlv_normal_link,Actionline,,
